Unnamed_0,ID,rooms_qnty,metro_station_rating,time_to_metro,apart_area,floor,house_type,parking,price,repairs,balcony,bathroom,animals_kids,room_furn,kitch_furn,fridge,washing_mach,internet,ceil_height,elevator
0,271271157,4,2,9,200.0,5,4,1,500000.0,3,0,0,2,1,1,1,1,1,3.0,1
1,271634126,4,2,8,198.0,5,5,1,500000.0,3,0,4,1,1,1,1,1,1,3.5,1
2,271173086,4,2,7,200.0,5,2,1,500000.0,2,0,3,1,1,1,1,1,1,3.2,1
3,272197456,4,2,3,170.0,5,2,1,400000.0,2,0,3,1,1,1,1,1,1,3.2,1
4,273614615,2,2,7,58.0,12,1,0,225000.0,2,0,2,0,1,1,1,1,1,3.9,1
5,274837728,3,2,5,92.0,3,2,0,470000.0,3,0,0,0,1,1,1,1,0,3.06,0
6,273643908,5,2,4,213.0,4,2,1,350000.0,2,0,2,2,1,1,1,1,1,3.2,1
7,274475342,3,2,3,98.0,2,4,1,250000.0,2,0,3,2,1,1,1,1,1,3.2,1
8,273973191,3,2,9,120.0,5,6,1,130000.0,2,0,1,1,0,1,1,1,1,3.0,1
9,272900409,4,2,10,90.0,2,6,1,210000.0,2,1,3,1,1,1,1,1,1,310.0,1
10,271036964,4,2,5,170.0,6,2,1,290000.0,2,0,3,1,1,1,1,1,1,3.2,1
11,273999490,3,2,2,80.0,4,2,0,100000.0,2,3,1,0,1,1,1,1,1,3.06,1
12,274017037,3,2,8,100.0,2,2,0,200000.0,3,0,2,2,1,1,1,1,1,3.06,1
13,273231024,5,2,9,180.0,6,4,0,500000.0,3,2,4,2,1,1,1,1,1,3.06,1
14,274839211,5,1,5,222.2,5,4,1,450000.0,2,1,2,0,1,1,1,1,1,3.06,1
15,274767901,5,1,6,225.0,5,4,0,450000.0,3,0,0,0,,,,,,3.06,1
16,274995950,2,2,10,30.0,19,2,0,120000.0,2,0,1,2,1,1,1,1,1,3.06,0
17,274945807,5,2,5,222.0,5,2,0,450000.0,3,1,0,2,1,1,1,1,1,3.06,0
18,272911145,5,2,12,150.0,4,2,1,180000.0,2,1,2,0,1,1,1,1,1,3.06,1
19,274748017,5,1,6,201.0,3,2,0,190000.0,2,0,3,2,0,1,1,1,1,3.2,1
20,273941734,2,2,9,64.0,12,2,0,205000.0,2,0,2,2,1,1,1,1,1,3.06,0
21,274493570,3,1,5,112.0,2,2,1,230000.0,2,1,2,1,1,1,1,1,1,3.2,1
22,274849101,4,2,5,190.0,4,2,0,590000.0,3,0,0,0,1,1,1,1,0,3.06,0
23,223918678,5,2,8,255.6,8,4,0,850000.0,2,0,4,2,1,1,1,1,1,3.06,0
24,274391259,5,2,5,186.0,3,2,1,190000.0,2,0,2,2,1,1,1,1,1,3.3,0
25,272945376,3,2,5,100.0,3,2,1,200000.0,2,0,2,2,1,1,1,1,1,3.2,1
26,272612966,5,2,11,150.0,4,2,0,200000.0,2,1,2,0,1,1,1,1,1,3.06,1
27,271568490,5,2,7,140.0,2,2,0,300000.0,3,0,0,1,1,1,1,1,1,3.06,1
