Unnamed_0,ID,rooms_qnty,metro_station_rating,time_to_metro,apart_area,floor,house_type,parking,price,repairs,balcony,bathroom,animals_kids,room_furn,kitch_furn,fridge,washing_mach,internet,ceil_height,elevator
11684,272193789,1,2,4,35,3,1,0,38000,2,1,1,0,1,1,1,1,0,2.64,0
11685,274312075,1,2,13,35,2,2,0,39000,1,0,1,2,1,0,0,1,1,2.89,0
11686,275005461,1,2,10,35,4,1,0,40000,1,1,1,1,1,0,0,1,1,2.6,0
11687,274845410,1,2,5,34,3,1,0,40000,1,1,1,2,1,0,0,1,1,2.5,0
11688,273057169,1,2,7,32,1,1,0,40000,1,0,1,2,1,0,0,1,1,2.6,0
11689,268641737,2,2,10,44,8,1,0,40000,1,1,2,1,1,0,0,1,1,2.7,1
11690,274621295,1,2,11,35,5,3,1,40000,2,2,1,1,1,1,1,1,0,2.64,1
11691,274222984,2,1,15,44,3,2,0,40000,1,2,2,2,1,1,1,1,0,2.64,1
11692,274577795,2,2,9,55,7,3,0,41500,2,2,2,2,1,1,1,1,1,2.64,1
11693,256404846,1,2,3,36,11,3,1,42000,1,1,1,0,1,1,1,1,1,2.64,1
11694,274680358,2,2,10,54,4,2,1,43000,1,2,1,0,1,1,1,1,1,2.89,1
11695,274340645,2,1,9,43,1,2,0,43000,1,0,2,2,1,1,1,1,0,2.48,0
11696,274875017,1,1,12,35,4,2,0,43500,1,2,1,2,1,0,0,1,1,2.89,1
11697,272335369,1,1,10,35,3,1,0,44000,2,1,1,0,1,1,1,1,1,2.7,1
11698,272358201,2,2,2,38,2,3,1,44000,1,0,2,1,1,1,1,1,1,2.64,1
11699,274968989,2,2,5,47,4,2,1,45000,1,1,2,2,1,0,0,1,1,2.89,1
11700,274617918,1,1,12,32,8,1,0,45000,1,0,1,2,1,0,0,1,1,2.89,1
11701,274340502,1,2,9,53,11,2,1,45000,2,2,1,1,1,1,1,1,1,2.89,1
11702,269040074,2,1,7,47,8,3,1,45000,1,1,2,0,1,1,1,1,1,2.64,1
11703,250969698,1,2,2,38,5,2,0,45000,2,2,1,2,1,1,1,1,1,2.64,1
11704,274212701,2,2,5,46,5,2,1,48000,1,1,1,0,1,1,1,1,1,2.89,0
11705,274021220,1,1,9,35,6,3,0,49000,2,1,1,2,1,1,1,1,1,2.89,1
11706,274992544,2,2,6,47,5,1,1,50000,2,1,1,1,1,1,1,1,1,2.89,0
11707,264359696,3,2,3,60,8,2,1,50000,1,1,2,2,1,1,1,1,0,2.89,1
11708,194610952,2,2,17,45,9,2,0,50000,2,1,1,2,1,1,1,1,1,2.64,1
11709,273814473,3,2,6,58,4,3,1,50000,1,1,2,0,1,1,0,0,0,2.5,0
11710,161237167,1,2,4,50,5,4,1,50000,2,2,2,0,1,1,1,1,1,2.89,1
